issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,description,status,escalated,is_overdue,feedback_rating,feedback_comment
ISS-1152,Kicukiro,Kigarama,Kigarama I,20/02/2025,,Education,Sector,Overgrown bushes blocking footpaths near the river for 3 days.,Open,No,Yes,,
ISS-1153,Nyarugenge,Nyamirambo,Mumena,14/07/2025,5/8/2025,public Safety,District,Lack of waste bins in public areas at the main road for 1 week.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1154,Kicukiro,Kigarama,Kigarama II,11/6/2025,20/06/2025,public Safety,Sector,Road full of potholes near the market for several weeks.,Resolved,No,No,5,Service was quick and effective.
ISS-1155,Kicukiro,Kigarama,Kigarama II,15/01/2025,25/01/2025,public Safety,Cell,Noise pollution from nearby bars next to the bus stop since last week.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1156,Gasabo,Kimironko,Nyagatovu,11/1/2025,6/2/2025,Social services,District,Health post has no medicines near the river for 3 days.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1157,Nyarugenge,Kigali,Muhima,27/01/2025,23/02/2025,Health and Services ,Sector,Blocked drainage causing floods behind the local office for almost a year.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1158,Gasabo,Remera,Nyabisindu,15/05/2025,21/05/2025,public Safety,Sector,Illegal dumping of waste near the health post for 3 days.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1159,Kicukiro,Gikondo,Rwimbogo,22/07/2025,2/8/2025,Social services,Cell,Poor internet connectivity in public offices near the river since last week.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1160,Gasabo,Kimironko,Nyagatovu,27/03/2025,,Social services,Cell,Road full of potholes near the health post since the rainy season began.,Escalated,Yes,Yes,,
ISS-1161,Gasabo,Kimironko,Nyagatovu,1/7/2025,11/7/2025,Education,District,Overgrown bushes blocking footpaths at the football field since last week.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1162,Nyarugenge,Kigali,Kiyovu,21/06/2025,3/7/2025,Health and Services ,District,Poor internet connectivity in public offices at the main road for almost a year.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1163,Kicukiro,Kigarama,Kigarama I,27/02/2025,4/3/2025,public Safety,Cell,Flooding in homes after rain behind the local office for 3 days.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1164,Gasabo,Remera,Rukiri II,2/6/2025,8/6/2025,Social services,Cell,Overgrown bushes blocking footpaths at the main road for several weeks.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1165,Nyarugenge,Nyamirambo,Rwezamenyo II,4/4/2025,12/4/2025,Health and Services ,Sector,Public transport shortage during rush hours near the health post for several weeks.,Resolved,No,No,4,Good communication throughout.
ISS-1166,Kicukiro,Gikondo,Kanserege,27/07/2025,25/08/2025,Education,Sector,Health post has no medicines at the main road since this morning.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1167,Nyarugenge,Kigali,Nyarugenge,16/05/2025,22/05/2025,public Safety,District,Unfinished construction causing hazards at the football field since last week.,Resolved,No,No,4,Good communication throughout.
ISS-1168,Gasabo,Kimironko,Bibare,27/01/2025,13/02/2025,Water & sanitation,District,Public toilet not functioning in the village center since yesterday.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1169,Gasabo,Remera,Rukiri I,1/8/2025,31/08/2025,Social services,Cell,Lack of waste bins in public areas near the market for almost a year.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1170,Kicukiro,Kigarama,Kigarama II,6/4/2025,9/4/2025,public Safety,District,Damaged bridge making crossing difficult in the village center for several weeks.,Resolved,No,No,5,Took longer than expected.
ISS-1171,Gasabo,Kimironko,Bibare,10/1/2025,6/2/2025,Education,Cell,Unfinished construction causing hazards in the residential area since last week.,Resolved,No,Yes,4,"Poor handling, not happy."
ISS-1172,Gasabo,Kimironko,Nyagatovu,5/1/2025,1/2/2025,Health and Services ,Cell,Unfinished construction causing hazards at the main road since yesterday.,Resolved,No,Yes,2,Good communication throughout.
ISS-1173,Nyarugenge,Kigali,Kiyovu,1/2/2025,,Education,Sector,Unfinished construction causing hazards in the village center for 1 week.,In Progress,No,Yes,,
ISS-1174,Nyarugenge,Kigali,Kiyovu,18/05/2025,,public Safety,District,Public transport shortage during rush hours at the main road since this morning.,Escalated,Yes,Yes,,
ISS-1175,Nyarugenge,Nyamirambo,Rwezamenyo II,1/1/2025,9/1/2025,Water & sanitation,Sector,Broken streetlight by the primary school for 1 week.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1176,Gasabo,Remera,Rukiri II,20/05/2025,6/6/2025,Health and Services ,District,Blocked drainage causing floods at the main road for several weeks.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1177,Kicukiro,Kigarama,Kigarama III,11/7/2025,,Water & sanitation,Sector,Electricity blackout in the neighborhood in the village center since yesterday.,Open,No,Yes,,
ISS-1178,Kicukiro,Kigarama,Kigarama III,13/07/2025,15/07/2025,Social services,District,Broken streetlight near the market for 2 months now.,Resolved,No,No,5,Good communication throughout.
ISS-1179,Kicukiro,Kigarama,Kigarama III,16/02/2025,19/02/2025,public Safety,District,Poor internet connectivity in public offices at the main road since the rainy season began.,Resolved,No,No,5,Service was quick and effective.
ISS-1180,Kicukiro,Kigarama,Kigarama I,21/03/2025,17/04/2025,Health and Services ,Sector,Damaged bridge making crossing difficult in the village center for 2 months now.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1181,Gasabo,Remera,Rukiri I,26/03/2025,21/04/2025,Health and Services ,District,Overgrown bushes blocking footpaths behind the local office for over a month.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1182,Kicukiro,Gikondo,Rwimbogo,27/06/2025,27/07/2025,Education,Sector,Unsafe pedestrian crossing without signs in the residential area since this morning.,Resolved,No,Yes,3,Service was quick and effective.
ISS-1183,Nyarugenge,Kigali,Kiyovu,20/05/2025,24/05/2025,Social services,Cell,Health post has no medicines near the health post for 1 week.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1184,Nyarugenge,Kigali,Nyarugenge,20/04/2025,,Social services,District,Open sewage causing bad smell at the football field since the rainy season began.,In Progress,No,Yes,,
ISS-1185,Kicukiro,Gikondo,Kanserege,12/3/2025,7/4/2025,Social services,Sector,Road full of potholes behind the local office for 1 week.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1186,Nyarugenge,Kigali,Nyarugenge,6/2/2025,28/02/2025,Education,Cell,Open sewage causing bad smell by the primary school for over a month.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1187,Gasabo,Remera,Nyabisindu,26/05/2025,,Water & sanitation,Sector,Garbage collection delay near the health post for 2 months now.,Open,No,Yes,,
ISS-1188,Nyarugenge,Kigali,Nyarugenge,27/05/2025,,public Safety,Cell,Garbage collection delay at the main road since this morning.,In Progress,No,Yes,,
ISS-1189,Kicukiro,Gikondo,Gikondo,7/1/2025,23/01/2025,Education,Cell,Road full of potholes in the residential area for over a month.,Resolved,No,Yes,4,Good communication throughout.
ISS-1190,Gasabo,Kimironko,Nyagatovu,15/03/2025,31/03/2025,Education,District,Lack of waste bins in public areas by the primary school since yesterday.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1191,Gasabo,Remera,Rukiri I,27/07/2025,24/08/2025,public Safety,Cell,Flooding in homes after rain near the health post for 2 months now.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1192,Kicukiro,Kigarama,Kigarama III,6/8/2025,,Water & sanitation,Sector,Electricity blackout in the neighborhood in the residential area for almost a year.,Escalated,Yes,No,,
ISS-1193,Nyarugenge,Nyamirambo,Rwezamenyo I,21/02/2025,1/3/2025,Education,Cell,Unfinished construction causing hazards near the market for over a month.,Resolved,No,No,4,Service was quick and effective.
ISS-1194,Kicukiro,Gikondo,Rwimbogo,23/01/2025,,Education,District,Lack of waste bins in public areas in the village center since last week.,In Progress,No,Yes,,
ISS-1195,Nyarugenge,Kigali,Muhima,19/01/2025,,public Safety,District,Water shortage in the area near the market for 1 week.,In Progress,No,Yes,,
ISS-1196,Nyarugenge,Nyamirambo,Rwezamenyo I,2/2/2025,27/02/2025,Social services,Sector,Health post has no medicines near the health post since this morning.,Resolved,No,Yes,2,Took longer than expected.
ISS-1197,Kicukiro,Kigarama,Kigarama I,12/2/2025,,Education,Sector,Public toilet not functioning behind the local office for 3 days.,Escalated,Yes,Yes,,
ISS-1198,Gasabo,Kimironko,Kibagabaga,20/02/2025,10/3/2025,Health and Services ,Sector,Health post has no medicines by the primary school since the rainy season began.,Resolved,No,Yes,3,Took longer than expected.
ISS-1199,Nyarugenge,Kigali,Muhima,14/06/2025,,Health and Services ,District,Road full of potholes by the primary school since yesterday.,Escalated,Yes,Yes,,
ISS-1200,Gasabo,Remera,Rukiri II,4/8/2025,6/8/2025,Social services,Sector,Broken streetlight at the football field for almost a year.,Resolved,No,No,4,Service was quick and effective.
ISS-1201,Gasabo,Kimironko,Kibagabaga,8/6/2025,24/06/2025,Social services,Sector,Electricity blackout in the neighborhood in the residential area since this morning.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1202,Kicukiro,Gikondo,Kanserege,19/01/2025,25/01/2025,Water & sanitation,Sector,Health post has no medicines near the river since the rainy season began.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1203,Kicukiro,Gikondo,Kanserege,22/03/2025,2/4/2025,Social services,Cell,Unsafe pedestrian crossing without signs in the residential area since last week.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1204,Kicukiro,Kigarama,Kigarama II,23/03/2025,27/03/2025,Social services,Cell,Public transport shortage during rush hours in the village center for 3 days.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1205,Gasabo,Remera,Nyabisindu,7/6/2025,5/7/2025,Water & sanitation,Sector,Broken streetlight near the market since last week.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1206,Nyarugenge,Kigali,Kiyovu,30/04/2025,10/5/2025,public Safety,District,Unfinished construction causing hazards in the residential area for almost a year.,Resolved,No,No,4,Service was quick and effective.
ISS-1207,Gasabo,Kimironko,Kibagabaga,30/05/2025,1/6/2025,Education,Cell,School lacks enough desks near the market since last week.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1208,Nyarugenge,Kigali,Nyarugenge,21/04/2025,,Health and Services ,Cell,Lack of waste bins in public areas at the football field for almost a year.,In Progress,No,Yes,,
ISS-1209,Nyarugenge,Kigali,Nyarugenge,14/01/2025,21/01/2025,Health and Services ,Sector,Unfinished construction causing hazards near the market for 1 week.,Resolved,No,No,5,Good communication throughout.
ISS-1210,Kicukiro,Kigarama,Kigarama II,13/03/2025,2/4/2025,public Safety,District,Overgrown bushes blocking footpaths next to the bus stop for 2 months now.,Resolved,No,Yes,1,Took longer than expected.
ISS-1211,Gasabo,Kimironko,Nyagatovu,13/07/2025,,Social services,Sector,Road full of potholes behind the local office for almost a year.,Escalated,Yes,Yes,,
ISS-1212,Nyarugenge,Kigali,Muhima,5/2/2025,3/3/2025,Health and Services ,Cell,Poor internet connectivity in public offices by the primary school since the rainy season began.,Resolved,No,Yes,4,Good communication throughout.
ISS-1213,Kicukiro,Kigarama,Kigarama III,6/6/2025,19/06/2025,Education,Sector,Public transport shortage during rush hours near the river since this morning.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1214,Kicukiro,Gikondo,Gikondo,1/7/2025,17/07/2025,Social services,Sector,Damaged bridge making crossing difficult in the village center since this morning.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1215,Kicukiro,Kigarama,Kigarama II,26/06/2025,16/07/2025,Water & sanitation,District,Illegal dumping of waste near the river for over a month.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1216,Nyarugenge,Nyamirambo,Rwezamenyo II,13/02/2025,9/3/2025,Social services,Sector,Noise pollution from nearby bars by the primary school for 2 months now.,Resolved,No,Yes,4,Took longer than expected.
ISS-1217,Nyarugenge,Nyamirambo,Mumena,5/1/2025,19/01/2025,Health and Services ,Cell,Unfinished construction causing hazards in the village center for almost a year.,Resolved,No,No,3,The issue is still not fully fixed.
ISS-1218,Nyarugenge,Nyamirambo,Rwezamenyo I,6/8/2025,8/8/2025,Social services,Sector,Public toilet not functioning near the river for 2 months now.,Resolved,No,No,4,Good communication throughout.
ISS-1219,Gasabo,Kimironko,Kibagabaga,22/03/2025,6/4/2025,Social services,Sector,Unsafe pedestrian crossing without signs in the residential area for 2 months now.,Resolved,No,Yes,3,Good communication throughout.
ISS-1220,Kicukiro,Gikondo,Gikondo,13/03/2025,21/03/2025,Education,Cell,Lack of waste bins in public areas at the football field since the rainy season began.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1221,Nyarugenge,Nyamirambo,Rwezamenyo II,31/03/2025,30/04/2025,Water & sanitation,Sector,Lack of waste bins in public areas in the residential area since this morning.,Resolved,No,Yes,3,Very satisfied with the outcome.
ISS-1222,Gasabo,Kimironko,Nyagatovu,11/1/2025,3/2/2025,Education,Sector,Unfinished construction causing hazards next to the bus stop for 1 week.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1223,Kicukiro,Gikondo,Gikondo,31/07/2025,30/08/2025,Education,Cell,Noise pollution from nearby bars near the market for 2 months now.,Resolved,No,Yes,3,Took longer than expected.
ISS-1224,Gasabo,Remera,Nyabisindu,13/06/2025,17/06/2025,Social services,Cell,Water shortage in the area at the football field since this morning.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1225,Nyarugenge,Kigali,Kiyovu,10/2/2025,12/3/2025,Health and Services ,District,Unsafe pedestrian crossing without signs next to the bus stop for 2 months now.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1226,Nyarugenge,Nyamirambo,Rwezamenyo I,16/01/2025,19/01/2025,Water & sanitation,District,School lacks enough desks by the primary school for 2 months now.,Resolved,No,No,4,Good communication throughout.
ISS-1227,Nyarugenge,Nyamirambo,Mumena,3/8/2025,19/08/2025,Education,Cell,Blocked drainage causing floods at the main road for 3 days.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1228,Kicukiro,Kigarama,Kigarama I,28/01/2025,8/2/2025,Social services,District,Open sewage causing bad smell near the health post since last week.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1229,Nyarugenge,Kigali,Kiyovu,19/02/2025,2/3/2025,public Safety,Sector,School lacks enough desks near the market since yesterday.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1230,Kicukiro,Gikondo,Gikondo,28/03/2025,16/04/2025,Health and Services ,District,Road full of potholes near the river since the rainy season began.,Resolved,No,Yes,2,Took longer than expected.
ISS-1231,Nyarugenge,Kigali,Nyarugenge,13/04/2025,19/04/2025,Water & sanitation,Cell,Blocked drainage causing floods near the market for over a month.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1232,Kicukiro,Kigarama,Kigarama I,25/04/2025,6/5/2025,public Safety,Cell,Electricity blackout in the neighborhood at the football field since last week.,Resolved,No,No,4,Good communication throughout.
ISS-1233,Nyarugenge,Nyamirambo,Rwezamenyo I,20/06/2025,,Education,Cell,Overgrown bushes blocking footpaths behind the local office since the rainy season began.,In Progress,No,Yes,,
ISS-1234,Gasabo,Kimironko,Kibagabaga,31/01/2025,10/2/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs behind the local office since the rainy season began.,Resolved,No,No,4,Good communication throughout.
ISS-1235,Gasabo,Remera,Nyabisindu,11/7/2025,23/07/2025,Education,Sector,Road full of potholes near the market for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1236,Nyarugenge,Kigali,Muhima,13/07/2025,8/8/2025,Education,District,Health post has no medicines next to the bus stop for over a month.,Resolved,No,Yes,1,Good communication throughout.
ISS-1237,Kicukiro,Gikondo,Kanserege,1/8/2025,18/08/2025,Health and Services ,Cell,Overgrown bushes blocking footpaths in the village center for several weeks.,Resolved,No,Yes,2,Good communication throughout.
ISS-1238,Nyarugenge,Nyamirambo,Mumena,30/01/2025,22/02/2025,Social services,Sector,Public transport shortage during rush hours by the primary school since this morning.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1239,Nyarugenge,Kigali,Kiyovu,17/04/2025,19/04/2025,Education,District,Road full of potholes behind the local office for 3 days.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1240,Kicukiro,Kigarama,Kigarama II,25/02/2025,27/02/2025,Health and Services ,District,Public transport shortage during rush hours next to the bus stop for 2 months now.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1241,Nyarugenge,Nyamirambo,Rwezamenyo II,9/1/2025,15/01/2025,Health and Services ,Sector,Illegal dumping of waste near the river for almost a year.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1242,Nyarugenge,Kigali,Nyarugenge,7/4/2025,,public Safety,Sector,Unfinished construction causing hazards in the village center for 1 week.,Escalated,Yes,Yes,,
ISS-1243,Nyarugenge,Nyamirambo,Rwezamenyo II,18/05/2025,23/05/2025,Health and Services ,Cell,Flooding in homes after rain behind the local office for 1 week.,Resolved,No,No,4,Service was quick and effective.
ISS-1244,Gasabo,Kimironko,Nyagatovu,8/4/2025,16/04/2025,public Safety,District,Noise pollution from nearby bars at the main road since yesterday.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1245,Gasabo,Kimironko,Bibare,18/04/2025,18/05/2025,Health and Services ,District,Open sewage causing bad smell next to the bus stop since this morning.,Resolved,No,Yes,1,Took longer than expected.
ISS-1246,Gasabo,Remera,Nyabisindu,3/6/2025,1/7/2025,Health and Services ,Sector,Noise pollution from nearby bars near the market since yesterday.,Resolved,No,Yes,1,Took longer than expected.
ISS-1247,Nyarugenge,Nyamirambo,Rwezamenyo I,25/02/2025,22/03/2025,Education,District,Broken streetlight next to the bus stop for 2 months now.,Resolved,No,Yes,1,Took longer than expected.
ISS-1248,Nyarugenge,Kigali,Kiyovu,3/6/2025,30/06/2025,Water & sanitation,District,Poor internet connectivity in public offices next to the bus stop for 1 week.,Resolved,No,Yes,3,Took longer than expected.
ISS-1249,Kicukiro,Kigarama,Kigarama III,18/03/2025,5/4/2025,Education,Sector,Public transport shortage during rush hours near the health post for several weeks.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1250,Nyarugenge,Kigali,Muhima,14/06/2025,10/7/2025,Health and Services ,Sector,Open sewage causing bad smell in the residential area for 3 days.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1251,Kicukiro,Gikondo,Kanserege,13/07/2025,21/07/2025,public Safety,Cell,Blocked drainage causing floods next to the bus stop for several weeks.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1252,Nyarugenge,Nyamirambo,Rwezamenyo I,17/04/2025,22/04/2025,Social services,Sector,Water shortage in the area at the main road for almost a year.,Resolved,No,No,5,Took longer than expected.
ISS-1253,Kicukiro,Kigarama,Kigarama II,24/01/2025,20/02/2025,public Safety,Sector,Overgrown bushes blocking footpaths in the village center for 3 days.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1254,Kicukiro,Gikondo,Gikondo,19/01/2025,,Social services,Cell,Unfinished construction causing hazards behind the local office for 2 months now.,Escalated,Yes,Yes,,
ISS-1255,Nyarugenge,Nyamirambo,Rwezamenyo I,4/1/2025,11/1/2025,Water & sanitation,Sector,Noise pollution from nearby bars in the village center since last week.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1256,Kicukiro,Kigarama,Kigarama III,3/3/2025,28/03/2025,Education,Sector,Poor internet connectivity in public offices at the main road for 1 week.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1257,Kicukiro,Gikondo,Rwimbogo,8/5/2025,3/6/2025,Water & sanitation,District,Illegal dumping of waste near the river since last week.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1258,Gasabo,Kimironko,Nyagatovu,26/02/2025,27/02/2025,Health and Services ,District,Broken streetlight behind the local office since last week.,Resolved,No,No,5,Good communication throughout.
ISS-1259,Nyarugenge,Kigali,Nyarugenge,28/02/2025,27/03/2025,Education,Sector,Garbage collection delay in the residential area for over a month.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1260,Nyarugenge,Kigali,Nyarugenge,13/02/2025,25/02/2025,public Safety,Sector,Broken streetlight next to the bus stop for 1 week.,Resolved,No,No,3,Took longer than expected.
ISS-1261,Nyarugenge,Kigali,Kiyovu,9/1/2025,12/1/2025,Health and Services ,District,Public toilet not functioning near the health post for almost a year.,Resolved,No,No,4,Service was quick and effective.
ISS-1262,Kicukiro,Kigarama,Kigarama III,8/2/2025,,Health and Services ,District,Noise pollution from nearby bars at the football field for 1 week.,Escalated,Yes,Yes,,
ISS-1263,Kicukiro,Gikondo,Kanserege,18/06/2025,19/06/2025,Social services,Sector,Garbage collection delay near the health post for 3 days.,Resolved,No,No,5,Service was quick and effective.
ISS-1264,Gasabo,Kimironko,Kibagabaga,28/07/2025,11/8/2025,Health and Services ,District,Unfinished construction causing hazards near the health post for 1 week.,Resolved,No,No,3,Service was quick and effective.
ISS-1265,Gasabo,Remera,Nyabisindu,6/3/2025,15/03/2025,Social services,District,Road full of potholes at the main road since the rainy season began.,Resolved,No,No,4,Service was quick and effective.
ISS-1266,Kicukiro,Gikondo,Rwimbogo,27/02/2025,26/03/2025,Education,District,Garbage collection delay at the football field for almost a year.,Resolved,No,Yes,1,"Poor handling, not happy."
ISS-1267,Nyarugenge,Nyamirambo,Mumena,22/05/2025,12/6/2025,public Safety,Sector,Illegal dumping of waste in the village center for 3 days.,Resolved,No,Yes,1,"Poor handling, not happy."
ISS-1268,Gasabo,Remera,Rukiri I,8/8/2025,6/9/2025,Water & sanitation,District,Overgrown bushes blocking footpaths in the residential area for 2 months now.,Resolved,No,Yes,1,Took longer than expected.
ISS-1269,Gasabo,Kimironko,Nyagatovu,13/03/2025,1/4/2025,Health and Services ,District,Public toilet not functioning near the river for 2 months now.,Resolved,No,Yes,1,Took longer than expected.
ISS-1270,Kicukiro,Kigarama,Kigarama I,30/07/2025,2/8/2025,Education,District,Open sewage causing bad smell in the residential area since yesterday.,Resolved,No,No,5,Took longer than expected.
ISS-1271,Nyarugenge,Nyamirambo,Rwezamenyo II,9/4/2025,14/04/2025,Social services,Sector,Lack of waste bins in public areas near the market for 2 months now.,Resolved,No,No,4,Good communication throughout.
ISS-1272,Nyarugenge,Kigali,Kiyovu,3/8/2025,,public Safety,Cell,Unfinished construction causing hazards behind the local office since yesterday.,Escalated,Yes,No,,
ISS-1273,Nyarugenge,Kigali,Nyarugenge,6/5/2025,24/05/2025,Water & sanitation,Sector,Public transport shortage during rush hours near the health post for almost a year.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1274,Gasabo,Kimironko,Bibare,2/7/2025,,Water & sanitation,Cell,Road full of potholes in the residential area since last week.,In Progress,No,Yes,,
ISS-1275,Gasabo,Kimironko,Kibagabaga,3/4/2025,,public Safety,Sector,Damaged bridge making crossing difficult by the primary school since this morning.,Open,No,Yes,,
ISS-1276,Kicukiro,Gikondo,Rwimbogo,23/01/2025,,Health and Services ,Cell,Lack of waste bins in public areas near the market for 3 days.,In Progress,No,Yes,,
ISS-1277,Nyarugenge,Kigali,Kiyovu,22/05/2025,,Health and Services ,Sector,Road full of potholes by the primary school for over a month.,Escalated,Yes,Yes,,
ISS-1278,Kicukiro,Gikondo,Kanserege,19/07/2025,,public Safety,Sector,Road full of potholes at the football field since this morning.,Escalated,Yes,Yes,,
ISS-1279,Gasabo,Remera,Rukiri II,10/3/2025,26/03/2025,Education,Cell,Illegal dumping of waste near the river for 3 days.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1280,Gasabo,Kimironko,Nyagatovu,20/07/2025,,Water & sanitation,Sector,Garbage collection delay at the football field for 1 week.,In Progress,No,Yes,,
ISS-1281,Gasabo,Kimironko,Kibagabaga,28/01/2025,,Education,Sector,Illegal dumping of waste near the market for 2 months now.,Open,No,Yes,,
ISS-1282,Kicukiro,Gikondo,Gikondo,27/03/2025,23/04/2025,Water & sanitation,Sector,Broken streetlight at the football field for over a month.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1283,Kicukiro,Kigarama,Kigarama II,23/03/2025,15/04/2025,Education,Sector,Unsafe pedestrian crossing without signs in the residential area for several weeks.,Resolved,No,Yes,4,Good communication throughout.
ISS-1284,Gasabo,Kimironko,Nyagatovu,30/01/2025,6/2/2025,public Safety,Sector,Garbage collection delay near the health post for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1285,Nyarugenge,Nyamirambo,Rwezamenyo II,24/07/2025,16/08/2025,Education,Sector,Flooding in homes after rain next to the bus stop for 3 days.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1286,Nyarugenge,Kigali,Kiyovu,18/06/2025,,Education,Sector,Flooding in homes after rain next to the bus stop for 1 week.,In Progress,No,Yes,,
ISS-1287,Kicukiro,Kigarama,Kigarama II,13/04/2025,13/05/2025,public Safety,District,Noise pollution from nearby bars at the main road for 3 days.,Resolved,No,Yes,4,Good communication throughout.
ISS-1288,Gasabo,Kimironko,Kibagabaga,22/01/2025,,Social services,District,Noise pollution from nearby bars by the primary school since this morning.,Open,No,Yes,,
ISS-1289,Nyarugenge,Kigali,Kiyovu,15/06/2025,28/06/2025,Health and Services ,District,Public toilet not functioning next to the bus stop since the rainy season began.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1290,Gasabo,Remera,Nyabisindu,11/7/2025,30/07/2025,Education,District,Illegal dumping of waste next to the bus stop since yesterday.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1291,Kicukiro,Gikondo,Rwimbogo,30/03/2025,15/04/2025,Social services,Cell,Poor internet connectivity in public offices behind the local office for 1 week.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1292,Kicukiro,Kigarama,Kigarama I,29/03/2025,5/4/2025,Water & sanitation,Sector,Flooding in homes after rain in the village center for almost a year.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1293,Kicukiro,Kigarama,Kigarama II,18/03/2025,,Water & sanitation,Cell,Electricity blackout in the neighborhood by the primary school since the rainy season began.,Escalated,Yes,Yes,,
ISS-1294,Gasabo,Remera,Rukiri I,4/3/2025,22/03/2025,Education,District,Illegal dumping of waste near the health post for 1 week.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1295,Nyarugenge,Kigali,Nyarugenge,17/02/2025,,public Safety,District,Lack of waste bins in public areas by the primary school since yesterday.,Escalated,Yes,Yes,,
ISS-1296,Kicukiro,Gikondo,Kanserege,1/6/2025,2/6/2025,Education,Sector,Poor internet connectivity in public offices by the primary school since the rainy season began.,Resolved,No,No,4,Took longer than expected.
ISS-1297,Kicukiro,Kigarama,Kigarama III,4/4/2025,19/04/2025,Social services,Cell,Electricity blackout in the neighborhood near the river for several weeks.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1298,Nyarugenge,Kigali,Muhima,6/6/2025,10/6/2025,Social services,Sector,Public transport shortage during rush hours in the residential area since the rainy season began.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1299,Kicukiro,Kigarama,Kigarama III,22/01/2025,2/2/2025,Social services,District,Damaged bridge making crossing difficult near the health post for 1 week.,Resolved,No,No,3,Took longer than expected.
ISS-1300,Kicukiro,Kigarama,Kigarama I,10/4/2025,15/04/2025,Education,District,Flooding in homes after rain in the village center for several weeks.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1301,Gasabo,Kimironko,Kibagabaga,12/2/2025,17/02/2025,Education,District,Public toilet not functioning at the football field for 2 months now.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1302,Kicukiro,Kigarama,Kigarama II,19/02/2025,9/3/2025,public Safety,Cell,School lacks enough desks in the residential area for several weeks.,Resolved,No,Yes,4,The issue is still not fully fixed.
